"Frequency (Hz)","Occupancy (%)","File Info"
"   168475000","100.00","File Name:                      Charlie_000296_210302_0101_OC"
"   168775000","100.00","File Type:                      Statistic Data"
"   168887500"," 99.99","Write Access:                   TRUE"
"   173475000","100.00","Records:                        6"
"   173875000","100.00","Created At:                     3/3/2021 11:32:40 AM"
"   173887500","100.00","Modified At:                    3/3/2021 11:32:40 AM"
,,"Column Names:                   Frequency ,Occupancy"
,,"Size:                           1 kB"
,,"User:                           Argus"
,,"User Group:                     Rohde&Schwarz"
,,"Measurement Type:               EMF_MEAS"
,,"Measurement Unit:               UMS300-100894"
,,"Control Unit:                   CCS_TDoA"
,,"Minimum Frequency:              168.475000 MHz"
,,"Maximum Frequency:              173.887500 MHz"
,,"Source:                         "
,,"  Measurement Result:           Charlie_000296_210302_0101"
,,"  Measurement Unit:             UMS300-100894"
,,"Statistic:                      "
,,"  Type of statistic:            Frequency Band Occupancy"
,,"  Minimum Frequency:            168475000 Hz"
,,"  Maximum Frequency:            173887500 Hz"
,,"  Meas. Parameter:              Level   "
,,"  Threshold:                    55.0 dBµV/m"
